Country,aqi_value,Life expectancy,2022 Population
Afghanistan,95.95918367346938,58.19375,41128771.0
Albania,68.25,75.15625,2842321.0
Algeria,88.16666666666667,73.61875,44903225.0
Angola,83.92592592592592,49.01875,35588987.0
Argentina,28.44927536231884,75.15625,45510318.0
Armenia,53.63636363636363,73.4,2780469.0
Australia,33.6,81.8125,26177413.0
Austria,53.720588235294116,81.48125,8939617.0
Azerbaijan,58.76315789473684,70.73125,10358074.0
Bahrain,188.0,75.725,1472233.0
Bangladesh,113.4625,69.3,171186372.0
Barbados,73.0,74.35625,281635.0
Belarus,38.45454545454545,69.90625,9534954.0
Belgium,44.58098591549296,80.68125,11655930.0
Belize,46.333333333333336,69.26875,405272.0
Benin,67.11111111111111,57.56875,13352864.0
Bhutan,26.0,66.1625,782455.0
Bosnia and Herzegovina,60.55555555555556,75.96875,3233526.0
Botswana,43.578947368421055,56.05,2630296.0
Brazil,44.57490396927017,73.38125,215313498.0
Bulgaria,54.261538461538464,72.85,6781953.0
Burkina Faso,51.588235294117645,55.64375,22673762.0
Burundi,62.69230769230769,55.5375,12889576.0
Cambodia,45.25,64.34375,16767842.0
Cameroon,69.015625,54.01875,27914536.0
Canada,43.262411347517734,81.6875,38454327.0
Central African Republic,64.16666666666667,48.5125,5579144.0
Chad,75.33333333333333,50.3875,17723315.0
Chile,87.85185185185185,79.45,19603733.0
China,126.95345911949686,74.2625,1425887337.0
Colombia,66.068,73.2875,51874024.0
Comoros,33.0,61.58125,836774.0
Costa Rica,58.81578947368421,78.59375,5180829.0
Croatia,57.935483870967744,76.11875,4030358.0
Cuba,63.07142857142857,77.975,11212191.0
Cyprus,50.833333333333336,79.675,1251488.0
Denmark,38.016666666666666,79.25625,5882261.0
Dominican Republic,108.07894736842105,72.34375,11228821.0
Ecuador,45.333333333333336,74.725,18001000.0
Egypt,101.65,71.5,110990103.0
El Salvador,97.36363636363636,71.74375,6336392.0
Equatorial Guinea,45.25,55.3125,1674908.0
Eritrea,99.2,60.6875,3684032.0
Estonia,38.833333333333336,74.94375,1326062.0
Ethiopia,78.73170731707317,59.1125,123379924.0
